United States,Apr 12 2021,546,715,0
United States,Apr 13 2021,748,719,0
United States,Apr 14 2021,801,715,0
United States,Apr 15 2021,797,706,0
United States,Apr 16 2021,813,703,0
United States,Apr 17 2021,636,687,0
United States,Apr 18 2021,503,692,0
United States,Apr 19 2021,487,683,0
United States,Apr 20 2021,740,682,0
United States,Apr 21 2021,779,679,0
United States,Apr 22 2021,794,678,0
United States,Apr 23 2021,846,683,0
United States,Apr 24 2021,663,687,0
United States,Apr 25 2021,433,677,0
United States,Apr 26 2021,487,677,0
United States,Apr 27 2021,541,649,0
United States,Apr 28 2021,848,658,0
United States,Apr 29 2021,768,655,0
United States,Apr 30 2021,796,648,0
United States,May  1 2021,626,642,0
United States,May  2 2021,503,652,0
United States,May  3 2021,474,650,0
United States,May  4 2021,694,672,0
United States,May  5 2021,723,654,0
United States,May  6 2021,671,641,0
United States,May  7 2021,815,643,0
United States,May  8 2021,619,642,0
United States,May  9 2021,406,628,0
United States,May 10 2021,422,621,0
United States,May 11 2021,612,609,0
United States,May 12 2021,702,606,0
United States,May 13 2021,590,595,0
United States,May 14 2021,696,578,0
United States,May 15 2021,437,552,0
United States,May 16 2021,439,556,0
United States,May 17 2021,373,549,0
United States,May 18 2021,604,548,0
United States,May 19 2021,607,535,0
United States,May 20 2021,527,526,0
United States,May 21 2021,674,523,0
United States,May 22 2021,401,517,0
United States,May 23 2021,289,496,0
United States,May 24 2021,353,493,217
United States,May 25 2021,506,479,0
United States,May 26 2021,525,467,0
United States,May 27 2021,544,470,0
United States,May 28 2021,707,475,0
United States,May 29 2021,310,462,0
United States,May 30 2021,255,457,0
United States,May 31 2021,228,439,0
United States,Jun  1 2021,337,415,0
United States,Jun  2 2021,500,411,0
United States,Jun  3 2021,475,401,0
United States,Jun  4 2021,594,385,0
United States,Jun  5 2021,396,397,0
United States,Jun  6 2021,425,422,0
United States,Jun  7 2021,324,435,0
United States,Jun  8 2021,314,432,0
United States,Jun  9 2021,370,414,18
United States,Jun 10 2021,391,402,0
United States,Jun 11 2021,398,374,0
United States,Jun 12 2021,212,347,0
United States,Jun 13 2021,148,308,0
United States,Jun 14 2021,202,290,0
United States,Jun 15 2021,312,290,0
United States,Jun 16 2021,341,286,0
United States,Jun 17 2021,278,270,0
United States,Jun 18 2021,273,252,0
United States,Jun 19 2021,253,258,0
United States,Jun 20 2021,216,267,0
United States,Jun 21 2021,266,277,8
United States,Jun 22 2021,309,276,0
United States,Jun 23 2021,338,276,0
United States,Jun 24 2021,316,281,0
United States,Jun 25 2021,394,298,10
United States,Jun 26 2021,241,297,0
United States,Jun 27 2021,175,291,0
United States,Jun 28 2021,191,280,0
United States,Jun 29 2021,277,276,0
United States,Jun 30 2021,244,262,0
United States,Jul  1 2021,289,258,0
United States,Jul  2 2021,302,245,0
United States,Jul  3 2021,153,233,0
United States,Jul  4 2021,123,225,0
United States,Jul  5 2021,106,213,0
United States,Jul  6 2021,303,217,0
United States,Jul  7 2021,253,218,0
United States,Jul  8 2021,265,215,0
United States,Jul  9 2021,312,216,0
United States,Jul 10 2021,145,215,0
United States,Jul 11 2021,117,214,0
United States,Jul 12 2021,305,242,0
United States,Jul 13 2021,337,247,0
United States,Jul 14 2021,339,260,0
United States,Jul 15 2021,321,268,0
United States,Jul 16 2021,368,276,0
United States,Jul 17 2021,178,280,0
United States,Jul 18 2021,148,285,0
United States,Jul 19 2021,287,282,0
United States,Jul 20 2021,322,280,0
United States,Jul 21 2021,395,288,0
United States,Jul 22 2021,345,291,0
United States,Jul 23 2021,414,298,0
United States,Jul 24 2021,245,308,0
United States,Jul 25 2021,249,322,0
United States,Jul 26 2021,418,341,0
United States,Jul 27 2021,503,367,0
United States,Jul 28 2021,493,381,0
United States,Jul 29 2021,503,403,0
United States,Jul 30 2021,521,418,130
United States,Jul 31 2021,399,440,0
United States,Aug  1 2021,372,458,0
United States,Aug  2 2021,656,492,0
United States,Aug  3 2021,707,521,0
United States,Aug  4 2021,745,557,0
United States,Aug  5 2021,763,594,0
United States,Aug  6 2021,843,640,0
United States,Aug  7 2021,645,675,0
United States,Aug  8 2021,529,698,0
United States,Aug  9 2021,728,708,1
United States,Aug 10 2021,968,745,0
United States,Aug 11 2021,603,725,12
United States,Aug 12 2021,997,759,0
United States,Aug 13 2021,1186,808,14
United States,Aug 14 2021,895,843,0
United States,Aug 15 2021,681,865,0
United States,Aug 16 2021,853,883,8
United States,Aug 17 2021,1202,916,0
United States,Aug 18 2021,1494,1044,15
United States,Aug 19 2021,1365,1096,29
United States,Aug 20 2021,1570,1151,14
United States,Aug 21 2021,1178,1191,0
United States,Aug 22 2021,892,1222,13
United States,Aug 23 2021,1130,1261,77
United States,Aug 24 2021,1665,1327,4
United States,Aug 25 2021,1652,1350,17
United States,Aug 26 2021,1764,1407,31
United States,Aug 27 2021,1814,1442,42
United States,Aug 28 2021,1473,1484,0
United States,Aug 29 2021,1161,1522,33
United States,Aug 30 2021,1209,1534,35
United States,Aug 31 2021,1760,1547,50
United States,Sep  1 2021,1995,1596,36
United States,Sep  2 2021,2020,1633,16
United States,Sep  3 2021,1939,1651,28
United States,Sep  4 2021,1505,1655,0
United States,Sep  5 2021,1284,1673,49
United States,Sep  6 2021,1062,1652,15
United States,Sep  7 2021,1467,1610,87
United States,Sep  8 2021,2074,1621,58
United States,Sep  9 2021,2249,1654,6
United States,Sep 10 2021,2252,1699,49
United States,Sep 11 2021,1758,1735,0
United States,Sep 12 2021,1146,1715,19
United States,Sep 13 2021,1293,1748,53
United States,Sep 14 2021,2433,1886,5
United States,Sep 15 2021,2397,1932,108
United States,Sep 16 2021,2082,1908,25
United States,Sep 17 2021,2295,1914,37
United States,Sep 18 2021,1622,1895,0
United States,Sep 19 2021,1187,1901,33
United States,Sep 20 2021,1293,1901,52
United States,Sep 21 2021,2335,1887,9
United States,Sep 22 2021,2298,1873,70
United States,Sep 23 2021,2060,1870,24
United States,Sep 24 2021,2399,1884,61
United States,Sep 25 2021,1454,1860,0
United States,Sep 26 2021,1027,1838,27
United States,Sep 27 2021,1472,1863,447
United States,Sep 28 2021,2129,1834,22
United States,Sep 29 2021,2206,1821,50
United States,Sep 30 2021,1930,1802,34
United States,Oct  1 2021,2150,1766,42
United States,Oct  2 2021,1331,1749,0
United States,Oct  3 2021,956,1739,24
United States,Oct  4 2021,1227,1704,69
United States,Oct  5 2021,2054,1693,0
United States,Oct  6 2021,1988,1662,51
United States,Oct  7 2021,1733,1634,16
United States,Oct  8 2021,2235,1646,40
United States,Oct  9 2021,1073,1609,0
United States,Oct 10 2021,740,1578,298
United States,Oct 11 2021,909,1533,47
United States,Oct 12 2021,1944,1517,10
United States,Oct 13 2021,1780,1487,59
United States,Oct 14 2021,1558,1462,7
United States,Oct 15 2021,1984,1426,58
United States,Oct 16 2021,929,1406,0
United States,Oct 17 2021,707,1401,13
United States,Oct 18 2021,1257,1451,1013
United States,Oct 19 2021,1845,1437,1
United States,Oct 20 2021,1752,1433,78
United States,Oct 21 2021,1534,1429,0
United States,Oct 22 2021,1875,1414,77
United States,Oct 23 2021,667,1376,0
United States,Oct 24 2021,343,1324,0
United States,Oct 25 2021,992,1286,56
United States,Oct 26 2021,2017,1311,25
United States,Oct 27 2021,1707,1305,66
United States,Oct 28 2021,1275,1268,1
United States,Oct 29 2021,1737,1248,71
United States,Oct 30 2021,448,1217,0
United States,Oct 31 2021,303,1211,0
United States,Nov  1 2021,1141,1232,47
United States,Nov  2 2021,1433,1149,17
United States,Nov  3 2021,1444,1111,-247
United States,Nov  4 2021,1207,1101,0
United States,Nov  5 2021,1563,1077,55
United States,Nov  6 2021,477,1081,0
United States,Nov  7 2021,253,1074,0
United States,Nov  8 2021,1147,1074,24
United States,Nov  9 2021,1594,1097,0
United States,Nov 10 2021,1252,1070,88
United States,Nov 11 2021,964,1035,11
United States,Nov 12 2021,1697,1054,43
United States,Nov 13 2021,550,1065,0
United States,Nov 14 2021,216,1060,0
United States,Nov 15 2021,1036,1044,39
United States,Nov 16 2021,1458,1024,0
United States,Nov 17 2021,1266,1026,178
United States,Nov 18 2021,1089,1044,2783
United States,Nov 19 2021,1591,1029,71
United States,Nov 20 2021,373,1004,0
United States,Nov 21 2021,174,998,0
United States,Nov 22 2021,1128,1011,42
United States,Nov 23 2021,1552,1024,9
United States,Nov 24 2021,1221,1018,147
United States,Nov 25 2021,469,929,0
United States,Nov 26 2021,558,782,0
United States,Nov 27 2021,215,759,0
United States,Nov 28 2021,189,761,0
United States,Nov 29 2021,1608,830,58
United States,Nov 30 2021,1611,838,12
United States,Dec  1 2021,1557,886,160
United States,Dec  2 2021,1242,997,0
United States,Dec  3 2021,1473,1127,175
United States,Dec  4 2021,569,1178,0
United States,Dec  5 2021,274,1190,0
United States,Dec  6 2021,1255,1140,47
United States,Dec  7 2021,1848,1174,0
United States,Dec  8 2021,1285,1135,185
United States,Dec  9 2021,1156,1122,0
United States,Dec 10 2021,1825,1173,151
United States,Dec 11 2021,493,1162,0
United States,Dec 12 2021,302,1166,0
United States,Dec 13 2021,1269,1168,36
United States,Dec 14 2021,1910,1177,0
United States,Dec 15 2021,1665,1231,230
United States,Dec 16 2021,1105,1224,1
United States,Dec 17 2021,1852,1228,214
United States,Dec 18 2021,591,1242,0
United States,Dec 19 2021,276,1238,0
United States,Dec 20 2021,1376,1253,68
United States,Dec 21 2021,2259,1303,15
United States,Dec 22 2021,1554,1287,276
United States,Dec 23 2021,1015,1274,2163
United States,Dec 24 2021,1361,1204,0
United States,Dec 25 2021,254,1156,0
United States,Dec 26 2021,262,1154,0
United States,Dec 27 2021,1616,1188,324
United States,Dec 28 2021,2179,1177,0
United States,Dec 29 2021,1579,1180,232
United States,Dec 30 2021,1334,1226,0
United States,Dec 31 2021,1320,1220,0
United States,Jan  1 2022,415,1243,0
United States,Jan  2 2022,353,1256,0
United States,Jan  3 2022,1476,1236,172
United States,Jan  4 2022,2807,1326,0
United States,Jan  5 2022,1665,1338,165
United States,Jan  6 2022,2062,1442,0
