United States,Dec 23 2020,2280410,1837653.14
United States,Dec 24 2020,1893035,1814676.71
United States,Dec 25 2020,1078777,1679874.57
United States,Dec 26 2020,994549,1577474
United States,Dec 27 2020,949959,1530758.29
United States,Dec 28 2020,1309962,1499374
United States,Dec 29 2020,1887262,1484850.57
United States,Dec 30 2020,2192164,1472244
United States,Dec 31 2020,1925150,1476831.86
United States,Jan  1 2021,1257128,1502310.57
United States,Jan  2 2021,1119255,1520125.71
United States,Jan  3 2021,1051855,1534682.29
United States,Jan  4 2021,1409837,1548950.14
United States,Jan  5 2021,1973786,1561310.71
United States,Jan  6 2021,2338912,1582274.71
United States,Jan  7 2021,2262479,1630464.57
United States,Jan  8 2021,2152431,1758365
United States,Jan  9 2021,1720432,1844247.43
United States,Jan 10 2021,1170710,1861226.71
United States,Jan 11 2021,1531263,1878573.29
United States,Jan 12 2021,2037811,1887719.71
United States,Jan 13 2021,2119565,1856384.43
United States,Jan 14 2021,2090835,1831863.86
United States,Jan 15 2021,2050105,1817245.86
United States,Jan 16 2021,1598842,1799875.86
United States,Jan 17 2021,1078345,1786680.86
United States,Jan 18 2021,1296964,1753209.57
United States,Jan 19 2021,1817460,1721730.86
United States,Jan 20 2021,2143406,1725136.71
United States,Jan 21 2021,2068651,1721967.57
United States,Jan 22 2021,1938902,1706081.43
United States,Jan 23 2021,1555626,1699907.71
United States,Jan 24 2021,1009738,1690106.71
United States,Jan 25 2021,1243053,1682405.14
United States,Jan 26 2021,1794261,1679091
United States,Jan 27 2021,2077120,1669621.57
United States,Jan 28 2021,1919036,1648248
United States,Jan 29 2021,1856984,1636545.43
United States,Jan 30 2021,1448627,1621259.86
United States,Jan 31 2021,951902,1612997.57
United States,Feb  1 2021,1038354,1583754.86
United States,Feb  2 2021,1641248,1561895.86
United States,Feb  3 2021,1878911,1533580.29
United States,Feb  4 2021,1939374,1536485.71
United States,Feb  5 2021,1839357,1533967.57
United States,Feb  6 2021,1338014,1518165.71
United States,Feb  7 2021,832162,1501060
United States,Feb  8 2021,1050228,1502756.29
United States,Feb  9 2021,1701412,1511351.14
United States,Feb 10 2021,1649062,1478515.57
United States,Feb 11 2021,1424624,1404979.86
United States,Feb 12 2021,1419323,1344975
United States,Feb 13 2021,1105412,1311746.14
United States,Feb 14 2021,666143,1288029.14
United States,Feb 15 2021,802251,1252603.86
United States,Feb 16 2021,1255734,1188935.57
United States,Feb 17 2021,1476795,1164326
United States,Feb 18 2021,1420518,1163739.43
United States,Feb 19 2021,1360007,1155265.71
United States,Feb 20 2021,1061644,1149013.14
United States,Feb 21 2021,685876,1151832.14
United States,Feb 22 2021,1045775,1186621.29
United States,Feb 23 2021,1653322,1243419.57
United States,Feb 24 2021,1697347,1274927
United States,Feb 25 2021,1618821,1303256
United States,Feb 26 2021,1483828,1320944.71
United States,Feb 27 2021,1078511,1323354.29
United States,Feb 28 2021,636154,1316251.14
United States,Mar  1 2021,999173,1309593.71
United States,Mar  2 2021,1617635,1304495.57
United States,Mar  3 2021,1745033,1311307.86
United States,Mar  4 2021,1559628,1302851.71
United States,Mar  5 2021,1436745,1296125.57
United States,Mar  6 2021,1069423,1294827.29
United States,Mar  7 2021,612231,1291409.71
United States,Mar  8 2021,981654,1288907
United States,Mar  9 2021,1545632,1278620.86
United States,Mar 10 2021,1621508,1260974.43
United States,Mar 11 2021,1505245,1253205.43
United States,Mar 12 2021,1403417,1248444.29
United States,Mar 13 2021,1027756,1242491.86
United States,Mar 14 2021,580724,1237990.86
United States,Mar 15 2021,953736,1234002.57
United States,Mar 16 2021,1504420,1228115.14
United States,Mar 17 2021,1622761,1228294.14
United States,Mar 18 2021,1479555,1224624.14
United States,Mar 19 2021,1347885,1216691
United States,Mar 20 2021,991292,1211481.86
United States,Mar 21 2021,615283,1216418.86
United States,Mar 22 2021,978915,1220015.86
United States,Mar 23 2021,1535024,1224387.86
United States,Mar 24 2021,1662655,1230087
United States,Mar 25 2021,1452001,1226150.71
United States,Mar 26 2021,1377494,1230380.57
United States,Mar 27 2021,1000594,1231709.43
United States,Mar 28 2021,624415,1233014
United States,Mar 29 2021,1011742,1237703.57
United States,Mar 30 2021,1536044,1237849.29
United States,Mar 31 2021,1584766,1226722.29
United States,Apr  1 2021,1446694,1225964.14
United States,Apr  2 2021,1347161,1221630.86
United States,Apr  3 2021,972017,1217548.43
United States,Apr  4 2021,565122,1209078
United States,Apr  5 2021,951069,1200410.43
United States,Apr  6 2021,1555102,1203133
United States,Apr  7 2021,1669576,1215248.71
United States,Apr  8 2021,1518719,1225538
United States,Apr  9 2021,1452999,1240657.71
United States,Apr 10 2021,1012039,1246375.14
United States,Apr 11 2021,645687,1257884.43
United States,Apr 12 2021,1056698,1272974.29
United States,Apr 13 2021,1613712,1281347.14
United States,Apr 14 2021,1676278,1282304.57
United States,Apr 15 2021,1485281,1277527.71
